"skm","skv","gm","gv","idm","mv","me","md","vv","ve","vd","sg","resp"
697,957,0,2,0,0,0,0,1,0,0,2,v
411,2446,1,0,0,0,0,0,0,0,1,-1,m
2590,2286,1,3,0,0,0,0,1,0,0,2,v
2290,600,2,0,0,0,0,0,0,0,1,-2,m
818,943,3,1,0,0,0,0,0,0,1,-2,m
1835,1250,0,1,0,0,0,0,1,0,0,1,v
2401,443,1,1,1,0,1,0,0,0,0,0,e
2611,2766,2,1,1,1,0,0,0,0,0,1,m
1221,1927,3,2,0,0,0,0,0,0,1,-1,m
1153,231,2,3,1,0,0,1,0,0,0,-1,v
2620,563,1,1,0,0,0,0,0,1,0,0,e
2303,1396,3,0,1,1,0,0,0,0,0,3,m
2505,1732,2,1,0,0,0,0,0,0,1,-1,m
830,1678,1,1,0,0,0,0,0,1,0,0,e
1851,2251,0,2,0,0,0,0,1,0,0,2,v
2703,409,1,0,1,1,0,0,0,0,0,1,m
380,1000,1,0,1,1,0,0,0,0,0,1,m
730,2277,3,3,0,0,0,0,0,1,0,0,e
1204,922,2,2,0,0,0,0,0,1,0,0,e
3,1682,0,2,1,0,0,1,0,0,0,-2,v
295,1911,1,1,0,0,0,0,0,1,0,0,e
1881,2712,3,1,1,1,0,0,0,0,0,2,m
2032,619,1,0,1,1,0,0,0,0,0,1,m
2097,672,0,0,1,0,1,0,0,0,0,0,e
1190,2519,1,0,1,1,0,0,0,0,0,1,m
135,887,1,0,0,0,0,0,0,0,1,-1,m
292,1674,3,0,0,0,0,0,0,0,1,-3,m
2367,1500,0,0,0,0,0,0,0,1,0,0,e
536,585,0,1,0,0,0,0,1,0,0,1,v
371,1445,2,1,0,0,0,0,0,0,1,-1,m
2353,215,2,2,0,0,0,0,0,1,0,0,e
699,1975,2,2,0,0,0,0,0,1,0,0,e
2512,2790,2,1,0,0,0,0,0,0,1,-1,m
1300,2280,2,1,1,1,0,0,0,0,0,1,m
2562,1841,2,1,1,1,0,0,0,0,0,1,m
2602,669,3,0,0,0,0,0,0,0,1,-3,m
140,1288,2,2,0,0,0,0,0,1,0,0,e
1836,70,0,0,1,0,1,0,0,0,0,0,e
1761,983,3,1,0,0,0,0,0,0,1,-2,m
2722,1602,1,3,1,0,0,1,0,0,0,-2,v
1684,2064,2,6,1,0,0,1,0,0,0,-4,v
351,1927,1,4,1,0,0,1,0,0,0,-3,v
1187,2002,0,1,1,0,0,1,0,0,0,-1,v
1268,285,1,1,0,0,0,0,0,1,0,0,e
1096,1230,2,0,1,1,0,0,0,0,0,2,m
574,985,2,1,1,1,0,0,0,0,0,1,m
1059,1791,1,1,1,0,1,0,0,0,0,0,e
1648,1964,0,0,0,0,0,0,0,1,0,0,e
755,1986,0,0,0,0,0,0,0,1,0,0,e
1950,1657,3,0,1,1,0,0,0,0,0,3,m
2246,2417,0,1,0,0,0,0,1,0,0,1,v
604,1582,0,0,0,0,0,0,0,1,0,0,e
886,598,1,1,0,0,0,0,0,1,0,0,e
2299,2826,2,1,1,1,0,0,0,0,0,1,m
89,72,4,1,0,0,0,0,0,0,1,-3,m
2360,1410,1,3,1,0,0,1,0,0,0,-2,v
528,2621,1,1,1,0,1,0,0,0,0,0,e
1874,2801,3,1,0,0,0,0,0,0,1,-2,m
2759,29,1,2,1,0,0,1,0,0,0,-1,v
502,1878,2,1,0,0,0,0,0,0,1,-1,m
321,712,1,3,1,0,0,1,0,0,0,-2,v
1047,312,3,0,0,0,0,0,0,0,1,-3,m
158,1635,4,1,1,1,0,0,0,0,0,3,m
2624,162,0,0,0,0,0,0,0,1,0,0,e
937,63,1,3,1,0,0,1,0,0,0,-2,v
3,537,2,1,1,1,0,0,0,0,0,1,m
1890,618,0,1,1,0,0,1,0,0,0,-1,v
509,695,2,2,0,0,0,0,0,1,0,0,e
2528,691,2,2,1,0,1,0,0,0,0,0,e
1285,410,1,3,1,0,0,1,0,0,0,-2,v
1836,1270,2,2,1,0,1,0,0,0,0,0,e
1487,2284,0,1,0,0,0,0,1,0,0,1,v
1629,1075,3,1,0,0,0,0,0,0,1,-2,m
2274,2272,2,0,1,1,0,0,0,0,0,2,m
1651,691,1,0,0,0,0,0,0,0,1,-1,m
135,370,1,1,1,0,1,0,0,0,0,0,e
1931,610,2,1,0,0,0,0,0,0,1,-1,m
1186,768,0,1,1,0,0,1,0,0,0,-1,v
1843,1575,6,0,1,1,0,0,0,0,0,6,m
2589,2559,0,1,1,0,0,1,0,0,0,-1,v
147,2422,0,1,1,0,0,1,0,0,0,-1,v
2332,2815,1,1,0,0,0,0,0,1,0,0,e
1981,706,3,2,0,0,0,0,0,0,1,-1,m
1581,1587,2,0,0,0,0,0,0,0,1,-2,m
2003,1993,1,2,0,0,0,0,1,0,0,1,v
2838,2330,4,0,0,0,0,0,0,0,1,-4,m
829,1683,3,1,0,0,0,0,0,0,1,-2,m
957,2137,0,0,1,0,1,0,0,0,0,0,e
692,2732,1,0,1,1,0,0,0,0,0,1,m
2090,2379,1,2,0,0,0,0,1,0,0,1,v
647,1867,1,0,0,0,0,0,0,0,1,-1,m
