"tempo","jm","mv","me","md","jv","vv","ve","vd","pbm","pbe","pbv","bm","be","bv","bxtm","bxte","bxtv","tpm","tpe","tpv","npm","npv","nem","nev","sgm","sgv","r"
20200808,12,0.4286,0.4286,0.1429,11,0.6923,0.2308,0.0769,0.2528,0.3297,0.4176,0.1428,0.4286,0.4286,0.2784,0.2577,0.4639,0.2025,0.1899,0.6076,0.9091,1.0000,0.5455,0.8000,11,-15,1
20200808,10,0.5833,0.2500,0.1667,11,0.3077,0.5385,0.1538,0.3686,0.3943,0.2372,0.3255,0.4884,0.1861,0.3000,0.5000,0.2000,0.3943,0.3803,0.2253,0.8889,0.9000,0.7778,0.4000,14,-3,2
20200809,10,0.5833,0.2500,0.1667,10,0.5000,0.2500,0.2500,0.4167,0.2500,0.3334,0.5000,0.2143,0.2858,0.6070,0.2312,0.1618,0.3370,0.3510,0.3120,0.8889,0.7778,0.7778,0.7778,11,-8,1
20200809,10,0.7500,0.0833,0.1667,10,0.4167,0.4167,0.1667,0.4584,0.2500,0.2917,0.5455,0.1514,0.3031,0.6299,0.1181,0.2519,0.4210,0.2631,0.3158,0.8889,0.8889,1.0000,0.5556,14,-4,2
20200812,11,0.7692,0.1538,0.0769,10,0.5000,0.2500,0.2500,0.5096,0.2019,0.2885,0.7143,0.1428,0.1428,0.5882,0.1372,0.2746,0.4412,0.1176,0.4412,1.0000,0.7778,0.9000,0.7778,23,-4,1
20200813,10,0.4167,0.1667,0.4167,11,0.2308,0.3846,0.3846,0.4007,0.2757,0.3238,0.5000,0.2000,0.3000,0.3605,0.1202,0.5192,0.5864,0.1809,0.2327,0.5556,0.6000,0.8889,0.6000,0,1,1
20200815,11,0.6154,0.2308,0.1538,10,0.2500,0.3333,0.4167,0.5161,0.2821,0.2019,0.6897,0.2069,0.1034,0.5591,0.2396,0.2013,0.6913,0.2058,0.1029,0.9000,0.5556,0.8000,0.6667,12,0,0
20200815,10,0.6667,0.2500,0.0833,11,0.4615,0.2308,0.3077,0.4872,0.2404,0.2724,0.6809,0.1915,0.1276,0.6363,0.1819,0.1819,0.4706,0.1765,0.3530,1.0000,0.7000,0.7778,0.8000,13,-3,0
20200815,11,0.5385,0.2308,0.2308,11,0.6923,0.1538,0.1538,0.3462,0.1923,0.4616,0.2978,0.1276,0.5745,0.5353,0.0930,0.3717,0.1720,0.0637,0.7643,0.8000,0.9000,0.8000,0.9000,13,-10,2
20200816,11,0.3846,0.4615,0.1538,10,0.4167,0.1667,0.4167,0.4007,0.3141,0.2853,0.5319,0.2553,0.2127,0.3390,0.5085,0.1526,0.5263,0.2105,0.2631,0.9000,0.5556,0.5000,0.8889,5,1,1
20200816,13,0.4000,0.2667,0.3333,12,0.3571,0.5000,0.1429,0.2715,0.3834,0.3452,0.1847,0.4308,0.3845,0.2404,0.5259,0.2337,0.2857,0.4081,0.3061,0.6667,0.9091,0.7500,0.4545,9,-4,1
20200816,12,0.6429,0.1429,0.2143,11,0.0769,0.4615,0.4615,0.5522,0.3022,0.1456,0.7826,0.1739,0.0435,0.5254,0.3941,0.0805,0.4918,0.3443,0.1640,0.8182,0.5000,0.9091,0.5000,15,11,0
20200819,10,0.5833,0.1667,0.2500,11,0.4615,0.2308,0.3077,0.4455,0.1988,0.3558,0.5384,0.1154,0.3461,0.6774,0.1344,0.1882,0.4896,0.2350,0.2754,0.7778,0.7000,0.8889,0.8000,9,-7,1
20200819,11,0.6923,0.0769,0.2308,10,0.5000,0.2500,0.2500,0.4712,0.1635,0.3654,0.5625,0.0625,0.3750,0.5734,0.1254,0.3011,0.3459,0.1351,0.5189,0.8000,0.7778,1.0000,0.7778,13,-4,0
20200819,10,0.5000,0.3333,0.1667,10,0.4167,0.1667,0.4167,0.4584,0.2500,0.2917,0.6250,0.1667,0.2084,0.3636,0.1515,0.4848,0.1765,0.2353,0.5882,0.8889,0.5556,0.6667,0.8889,7,0,1
20200819,12,0.7857,0.1429,0.0714,10,0.3333,0.4167,0.2500,0.5179,0.2798,0.2024,0.7021,0.2128,0.0851,0.6518,0.2395,0.1086,0.4270,0.4484,0.1246,1.0000,0.7778,0.9091,0.5556,24,-5,2
20200820,10,0.5000,0.2500,0.2500,15,0.4706,0.2941,0.2353,0.3677,0.2721,0.3603,0.3810,0.2381,0.3810,0.2507,0.2924,0.4569,0.3428,0.4286,0.2286,0.7778,0.7857,0.7778,0.7143,6,-8,0
20200822,13,0.7333,0.0667,0.2000,12,0.4286,0.3571,0.2143,0.4738,0.2119,0.3143,0.5893,0.0893,0.3214,0.4089,0.1239,0.4673,0.4706,0.0882,0.4412,0.8333,0.8182,1.0000,0.6364,21,-4,1
20200822,13,0.7333,0.1333,0.1333,12,0.4286,0.2143,0.3571,0.5452,0.1738,0.2810,0.7534,0.0822,0.1644,0.7101,0.1450,0.1450,0.8621,0.0517,0.0862,0.9167,0.6364,0.9167,0.8182,23,-6,2
20200823,11,0.6154,0.3077,0.0769,10,0.3333,0.1667,0.5000,0.5577,0.2372,0.2051,0.8000,0.1334,0.0666,0.6176,0.2059,0.1765,0.6022,0.3010,0.0968,1.0000,0.4444,0.7000,0.8889,13,5,1
20200823,11,0.6154,0.1538,0.2308,11,0.3846,0.1538,0.4615,0.5385,0.1538,0.3077,0.7164,0.0597,0.2239,0.5295,0.2941,0.1765,0.4906,0.1168,0.3925,0.8000,0.5000,0.9000,0.9000,10,2,2
20200823,15,0.4118,0.4118,0.1765,16,0.4444,0.3333,0.2222,0.3170,0.3726,0.3105,0.2979,0.4468,0.2553,0.7004,0.1634,0.1362,0.3871,0.3871,0.2258,0.8571,0.8000,0.5714,0.6667,3,-8,1
20200823,12,0.5000,0.1429,0.3571,11,0.4615,0.3077,0.2308,0.3654,0.2253,0.4093,0.3560,0.1356,0.5084,0.3846,0.2308,0.3846,0.2486,0.1989,0.5524,0.6364,0.8000,0.9091,0.7000,3,-4,0
20200823,12,0.6429,0.1429,0.2143,12,0.0714,0.5000,0.4286,0.5358,0.3215,0.1429,0.7606,0.1972,0.0422,0.6274,0.2354,0.1372,0.3756,0.5364,0.0880,0.8182,0.5455,0.9091,0.4545,13,11,0
20200826,11,0.4615,0.3077,0.2308,11,0.3846,0.1538,0.4615,0.4615,0.2308,0.3077,0.6101,0.1356,0.2543,0.6086,0.1631,0.2283,0.7317,0.1220,0.1463,0.8000,0.5000,0.7000,0.9000,6,3,1
